lock type,id,cpuid,loop,lock_acquires,lock_hold(ms),duration
Flat Combining,0,0,303350773,5472,5472.101,120
Flat Combining,1,1,912559770,5488,16464.097,120
Flat Combining,2,2,304259604,5488,5488.105,120
Flat Combining,3,3,912543386,5488,16464.106,120
Flat Combining,4,4,304252558,5488,5488.100,120
Flat Combining,5,5,912122309,5488,16464.109,120
Flat Combining,6,6,303835427,5488,5488.103,120
Flat Combining,7,7,912033420,5489,16467.103,120
Flat Combining,8,8,304202963,5489,5489.105,120
Flat Combining,9,9,908223311,5488,16464.104,120
