lock type,id,cpuid,loop,lock_acquires,lock_hold(ms),duration
Remote Core Locking,0,0,89026398,2744,2744.129,120
Remote Core Locking,1,1,267010685,2744,8232.121,120
Remote Core Locking,2,2,89011818,2744,2744.126,120
Remote Core Locking,3,3,267098475,2744,8232.127,120
Remote Core Locking,4,4,89023851,2744,2744.117,120
Remote Core Locking,5,5,267097131,2744,8232.129,120
Remote Core Locking,6,6,89032287,2744,2744.122,120
Remote Core Locking,7,7,267137020,2744,8232.123,120
Remote Core Locking,8,8,89036575,2744,2744.129,120
Remote Core Locking,9,9,267081103,2744,8232.135,120
Remote Core Locking,10,10,89033100,2744,2744.130,120
Remote Core Locking,11,11,267095236,2744,8232.131,120
Remote Core Locking,12,12,89035938,2744,2744.123,120
Remote Core Locking,13,13,267136275,2744,8232.121,120
Remote Core Locking,14,14,89045215,2744,2744.124,120
Remote Core Locking,15,15,267131485,2744,8232.122,120
Remote Core Locking,16,16,89044726,2744,2744.118,120
Remote Core Locking,17,17,266934540,2743,8229.118,120
Remote Core Locking,18,18,88970000,2743,2743.130,120
Remote Core Locking,19,0,266924766,2743,8229.134,120
