lock type,id,cpuid,loop,lock_acquires,lock_hold(ms),duration
Flat Combining,0,0,130272547,2736,2736.084,120
Flat Combining,1,1,391851884,2744,8232.082,120
Flat Combining,2,2,130729455,2744,2744.082,120
Flat Combining,3,3,391814140,2744,8232.085,120
Flat Combining,4,4,130533053,2744,2744.081,120
Flat Combining,5,5,391833523,2744,8232.084,120
Flat Combining,6,6,130690421,2744,2744.078,120
Flat Combining,7,7,391943971,2744,8232.081,120
Flat Combining,8,8,130661272,2744,2744.094,120
Flat Combining,9,9,391842215,2744,8232.076,120
Flat Combining,10,10,130707241,2744,2744.081,120
Flat Combining,11,11,391946234,2744,8232.094,120
Flat Combining,12,12,130766186,2745,2745.080,120
Flat Combining,13,13,392064881,2745,8235.079,120
Flat Combining,14,14,130676662,2744,2744.082,120
Flat Combining,15,15,392044167,2745,8235.086,120
Flat Combining,16,16,130714592,2745,2745.083,120
Flat Combining,17,17,391726766,2745,8235.088,120
Flat Combining,18,18,130776216,2745,2745.083,120
Flat Combining,19,19,391915731,2743,8229.082,120
