lock type,id,cpuid,loop,lock_acquires,lock_hold(ms),duration
Remote Core Locking,0,0,43512012,1323,1349.146,120
Remote Core Locking,1,1,129815443,1323,4140.497,120
Remote Core Locking,2,2,43510911,1323,1350.272,120
Remote Core Locking,3,3,129493334,1322,4132.520,120
Remote Core Locking,4,4,43473787,1322,1328.716,120
Remote Core Locking,5,5,129857366,1322,4126.649,120
Remote Core Locking,6,6,43493180,1322,1332.721,120
Remote Core Locking,7,7,129523026,1322,4166.572,120
Remote Core Locking,8,8,43515246,1322,1322.058,120
Remote Core Locking,9,9,129758643,1322,4156.028,120
Remote Core Locking,10,10,43423626,1322,1344.535,120
Remote Core Locking,11,11,125786329,1322,4191.357,120
Remote Core Locking,12,12,43488680,1322,1322.060,120
Remote Core Locking,13,13,129806092,1322,4148.185,120
Remote Core Locking,14,14,43508782,1322,1349.043,120
Remote Core Locking,15,15,129993718,1322,4138.397,120
Remote Core Locking,16,16,43533779,1322,1322.055,120
Remote Core Locking,17,17,129763998,1322,4171.928,120
Remote Core Locking,18,18,43327876,1322,1406.160,120
Remote Core Locking,19,19,130790426,1322,4058.872,120
Remote Core Locking,20,20,43457657,1322,1384.719,120
Remote Core Locking,21,21,130585426,1322,4104.334,120
Remote Core Locking,22,22,43448510,1322,1339.468,120
Remote Core Locking,23,23,129256055,1322,4203.673,120
Remote Core Locking,24,24,43476142,1322,1339.621,120
Remote Core Locking,25,25,130087092,1322,4088.622,120
Remote Core Locking,26,26,43457446,1322,1335.760,120
Remote Core Locking,27,27,129845879,1322,4141.423,120
Remote Core Locking,28,28,43479915,1322,1373.341,120
Remote Core Locking,29,29,129854595,1322,4160.093,120
Remote Core Locking,30,30,43483663,1322,1349.939,120
Remote Core Locking,31,31,130116935,1322,4143.485,120
Remote Core Locking,32,32,43592300,1322,1353.683,120
Remote Core Locking,33,33,130144505,1322,4165.735,120
Remote Core Locking,34,34,43545222,1322,1345.763,120
Remote Core Locking,35,35,130251408,1322,4136.888,120
Remote Core Locking,36,36,43520899,1322,1362.543,120
Remote Core Locking,37,37,130385431,1322,4097.567,120
Remote Core Locking,38,38,43556140,1322,1347.521,120
Remote Core Locking,39,0,130115459,1322,4167.152,120
