lock type,id,cpuid,loop,lock_acquires,lock_hold(ms),duration
CC Synch,0,0,174332993,2825,2825.027,120
CC Synch,1,1,515228349,2805,8415.035,120
CC Synch,2,2,168780445,2700,2700.029,120
CC Synch,3,3,532548595,2871,8613.034,120
CC Synch,4,4,170790795,2736,2736.015,120
CC Synch,5,5,494912802,2677,8031.023,120
CC Synch,6,6,167539022,2694,2694.023,120
CC Synch,7,7,524242607,2841,8523.025,120
CC Synch,8,8,174694100,2792,2792.015,120
CC Synch,9,9,526587564,2837,8511.027,120
CC Synch,10,10,166767748,2684,2684.023,120
CC Synch,11,11,487437727,2641,7923.026,120
CC Synch,12,12,169743123,2713,2713.024,120
CC Synch,13,13,501376204,2703,8109.035,120
CC Synch,14,14,160817503,2598,2598.019,120
CC Synch,15,15,517350597,2782,8346.024,120
CC Synch,16,16,160736472,2595,2595.016,120
CC Synch,17,17,504121565,2739,8217.033,120
CC Synch,18,18,174736773,2791,2791.029,120
CC Synch,19,19,492293219,2650,7950.027,120
