lock type,id,cpuid,loop,lock_acquires,lock_hold(ms),duration
Flat Combining (fair),0,0,325737488,5305,5305.053,120
Flat Combining (fair),1,1,324861626,1775,5325.015,120
Flat Combining (fair),2,2,325531220,5317,5317.055,120
Flat Combining (fair),3,3,324736601,1775,5325.018,120
Flat Combining (fair),4,4,316761830,5164,5164.053,120
Flat Combining (fair),5,5,325311004,1775,5325.018,120
Flat Combining (fair),6,6,316567984,5170,5170.052,120
Flat Combining (fair),7,7,325089032,1775,5325.019,120
Flat Combining (fair),8,8,317750889,5178,5178.043,120
Flat Combining (fair),9,9,324788332,1775,5325.019,120
Flat Combining (fair),10,10,308624356,5030,5030.046,120
Flat Combining (fair),11,11,324600684,1775,5325.019,120
Flat Combining (fair),12,12,283264497,4610,4610.039,120
Flat Combining (fair),13,13,324442103,1775,5325.019,120
Flat Combining (fair),14,14,282748096,4618,4618.044,120
Flat Combining (fair),15,15,325467317,1774,5322.019,120
Flat Combining (fair),16,16,283061237,4609,4609.047,120
Flat Combining (fair),17,17,324700004,1774,5322.019,120
Flat Combining (fair),18,18,324814508,5261,5261.043,120
Flat Combining (fair),19,19,270396343,1775,5325.027,120
