2,2,4,32,2918105,2918105,0,1535699550,Flat Combining,Spin Parker
3,3,4,32,2954338,2954338,0,1155620820,Flat Combining,Spin Parker
Id,CpuId,ThreadNum,CpuNum,LoopCount,NumAcquire,HoldTime,CombineTime,Locktype,WaiterType
0,0,4,32,829704,829704,0,3080439390,Flat Combining,BlockParker
1,1,4,32,601142,601142,0,2524962720,Flat Combining,BlockParker
2,2,4,32,607751,607751,0,3835452090,Flat Combining,BlockParker
3,3,4,32,593123,593123,0,150309870,Flat Combining,BlockParker
Id,CpuId,ThreadNum,CpuNum,LoopCount,NumAcquire,HoldTime,CombineTime,Locktype,WaiterType
0,0,4,32,1766055,1766055,0,3586932510,Flat Combining Fair,Spin Parker
1,1,4,32,1839160,1839160,0,4016618520,Flat Combining Fair,Spin Parker
2,2,4,32,2179836,2179836,0,1968978060,Flat Combining Fair,Spin Parker
3,3,4,32,1915260,1915260,0,1976294580,Flat Combining Fair,Spin Parker
Id,CpuId,ThreadNum,CpuNum,LoopCount,NumAcquire,HoldTime,CombineTime,Locktype,WaiterType
0,0,4,32,689335,689335,0,3856088880,Flat Combining Fair,BlockParker
1,1,4,32,740602,740602,0,3574576590,Flat Combining Fair,BlockParker
2,2,4,32,704227,704227,0,1234287720,Flat Combining Fair,BlockParker
3,3,4,32,686539,686539,0,204996750,Flat Combining Fair,BlockParker
Id,CpuId,ThreadNum,CpuNum,LoopCount,NumAcquire,HoldTime,CombineTime,Locktype,WaiterType
0,0,4,32,1619854,1619854,0,2614037580,Flat Combining Fair With Combiner Slice,Spin Parker
1,1,4,32,1588203,1588203,0,2936284440,Flat Combining Fair With Combiner Slice,Spin Parker
2,2,4,32,2051075,2051075,0,2249595420,Flat Combining Fair With Combiner Slice,Spin Parker
3,3,4,32,1966600,1966600,0,2405465490,Flat Combining Fair With Combiner Slice,Spin Parker
Id,CpuId,ThreadNum,CpuNum,LoopCount,NumAcquire,HoldTime,CombineTime,Locktype,WaiterType
0,0,4,32,779325,779325,0,1185447630,Flat Combining Fair With Combiner Slice,BlockParker
1,1,4,32,634145,634145,0,4554251160,Flat Combining Fair With Combiner Slice,BlockParker
2,2,4,32,563860,563860,0,1291518090,Flat Combining Fair With Combiner Slice,BlockParker
3,3,4,32,675149,675149,0,3079346940,Flat Combining Fair With Combiner Slice,BlockParker
Id,CpuId,ThreadNum,CpuNum,LoopCount,NumAcquire,HoldTime,CombineTime,Locktype,WaiterType
0,0,4,32,4707275,4707275,0,2588126220,CCSynch,Spin Parker
1,1,4,32,4752616,4752616,0,2592533190,CCSynch,Spin Parker
2,2,4,32,4822704,4822704,0,2619672660,CCSynch,Spin Parker
3,3,4,32,4668306,4668306,0,2560938330,CCSynch,Spin Parker
Id,CpuId,ThreadNum,CpuNum,LoopCount,NumAcquire,HoldTime,CombineTime,Locktype,WaiterType
0,0,4,32,2780512,2780512,0,2713263690,CCSynch,BlockParker
1,1,4,32,2857712,2857712,0,2707191420,CCSynch,BlockParker
2,2,4,32,2787159,2787159,0,2735547660,CCSynch,BlockParker
3,3,4,32,2768373,2768373,0,2757386400,CCSynch,BlockParker
Id,CpuId,ThreadNum,CpuNum,LoopCount,NumAcquire,HoldTime,CombineTime,Locktype,WaiterType
0,0,4,32,2841383,2841383,0,2394794880,CCSynch (Ban),Spin Parker
1,1,4,32,3076278,3076278,0,2389230600,CCSynch (Ban),Spin Parker
2,2,4,32,4578742,4578742,0,2409368790,CCSynch (Ban),Spin Parker
3,3,4,32,4294138,4294138,0,2412705270,CCSynch (Ban),Spin Parker
Id,CpuId,ThreadNum,CpuNum,LoopCount,NumAcquire,HoldTime,CombineTime,Locktype,WaiterType
0,0,4,32,2028049,2028049,0,2728968330,CCSynch (Ban),BlockParker
1,1,4,32,1965262,1965262,0,2592359100,CCSynch (Ban),BlockParker
2,2,4,32,1942485,1942485,0,2603820990,CCSynch (Ban),BlockParker
3,3,4,32,2060165,2060165,0,2618405160,CCSynch (Ban),BlockParker
Id,CpuId,ThreadNum,CpuNum,LoopCount,NumAcquire,HoldTime,CombineTime,Locktype,WaiterType
0,0,4,32,14214967,14214967,0,,Mutex,
1,1,4,32,13612275,13612275,0,,Mutex,
2,2,4,32,13598855,13598855,0,,Mutex,
3,3,4,32,13315940,13315940,0,,Mutex,
Id,CpuId,ThreadNum,CpuNum,LoopCount,NumAcquire,HoldTime,CombineTime,Locktype,WaiterType
0,0,4,32,39274834,39274834,0,,SpinLock,
1,1,4,32,42682505,42682505,0,,SpinLock,
2,2,4,32,47924170,47924170,0,,SpinLock,
3,3,4,32,34406828,34406828,0,,SpinLock,
Id,CpuId,ThreadNum,CpuNum,LoopCount,NumAcquire,HoldTime,CombineTime,Locktype,WaiterType
0,0,4,32,46722321,46722321,0,,U-SCL,
1,1,4,32,1703734,1703734,0,,U-SCL,
2,2,4,32,32752574,32752574,0,,U-SCL,
3,3,4,32,2353814,2353814,0,,U-SCL,
Id,CpuId,ThreadNum,CpuNum,LoopCount,NumAcquire,HoldTime,CombineTime,Locktype,WaiterType
0,0,4,32,2816930,2816930,0,,RCL,Spin Parker
1,1,4,32,2781282,2781282,0,,RCL,Spin Parker
2,2,4,32,2704315,2704315,0,,RCL,Spin Parker
3,3,4,32,2836155,2836155,0,,RCL,Spin Parker
Id,CpuId,ThreadNum,CpuNum,LoopCount,NumAcquire,HoldTime,CombineTime,Locktype,WaiterType
0,0,4,32,974598,974598,0,,RCL,BlockParker
1,1,4,32,974662,974662,0,,RCL,BlockParker
2,2,4,32,974625,974625,0,,RCL,BlockParker
3,3,4,32,974662,974662,0,,RCL,BlockParker
Id,CpuId,ThreadNum,CpuNum,LoopCount,NumAcquire,HoldTime,CombineTime,Locktype,WaiterType
0,0,8,32,581331,581331,0,1549877190,Flat Combining (SkipList),Spin Parker
1,1,8,32,599852,599852,0,1810882860,Flat Combining (SkipList),Spin Parker
2,2,8,32,640382,640382,0,2078326380,Flat Combining (SkipList),Spin Parker
3,3,8,32,687867,687867,0,3652548270,Flat Combining (SkipList),Spin Parker
4,4,8,32,572609,572609,0,1160487750,Flat Combining (SkipList),Spin Parker
5,5,8,32,597944,597944,0,1297722780,Flat Combining (SkipList),Spin Parker
6,6,8,32,602859,602859,0,1819512480,Flat Combining (SkipList),Spin Parker
7,7,8,32,592448,592448,0,1603285050,Flat Combining (SkipList),Spin Parker
Id,CpuId,ThreadNum,CpuNum,LoopCount,NumAcquire,HoldTime,CombineTime,Locktype,WaiterType
0,0,8,32,371732,371732,0,2197335960,Flat Combining (SkipList),BlockParker
1,1,8,32,421658,421658,0,1220230140,Flat Combining (SkipList),BlockParker
2,2,8,32,352265,352265,0,1061859420,Flat Combining (SkipList),BlockParker
3,3,8,32,363147,363147,0,488065650,Flat Combining (SkipList),BlockParker
4,4,8,32,428971,428971,0,2197142730,Flat Combining (SkipList),BlockParker
5,5,8,32,408530,408530,0,2685522750,Flat Combining (SkipList),BlockParker
6,6,8,32,476640,476640,0,732689910,Flat Combining (SkipList),BlockParker
7,7,8,32,326769,326769,0,4389191730,Flat Combining (SkipList),BlockParker
Id,CpuId,ThreadNum,CpuNum,LoopCount,NumAcquire,HoldTime,CombineTime,Locktype,WaiterType
0,0,8,32,945946,945946,0,5097621450,Flat Combining,Spin Parker
1,1,8,32,1008899,1008899,0,4740322110,Flat Combining,Spin Parker
2,2,8,32,1525156,1525156,0,616279800,Flat Combining,Spin Parker
3,3,8,32,1494098,1494098,0,644169900,Flat Combining,Spin Parker
4,4,8,32,1541846,1541846,0,300972630,Flat Combining,Spin Parker
5,5,8,32,1505855,1505855,0,992694750,Flat Combining,Spin Parker
6,6,8,32,1529940,1529940,0,516495360,Flat Combining,Spin Parker
7,7,8,32,1524951,1524951,0,574041090,Flat Combining,Spin Parker
Id,CpuId,ThreadNum,CpuNum,LoopCount,NumAcquire,HoldTime,CombineTime,Locktype,WaiterType
0,0,8,32,495073,495073,0,18307290,Flat Combining,BlockParker
1,1,8,32,248646,248646,0,6661671420,Flat Combining,BlockParker
2,2,8,32,495455,495455,0,8646660,Flat Combining,BlockParker
3,3,8,32,248661,248661,0,6456559110,Flat Combining,BlockParker
4,4,8,32,495605,495605,0,4209780,Flat Combining,BlockParker
5,5,8,32,495689,495689,0,3184020,Flat Combining,BlockParker
6,6,8,32,495700,495700,0,2994720,Flat Combining,BlockParker
7,7,8,32,495703,495703,0,3171000,Flat Combining,BlockParker
Id,CpuId,ThreadNum,CpuNum,LoopCount,NumAcquire,HoldTime,CombineTime,Locktype,WaiterType
0,0,8,32,823760,823760,0,3311667330,Flat Combining Fair,Spin Parker
1,1,8,32,872346,872346,0,2820986400,Flat Combining Fair,Spin Parker
2,2,8,32,1032322,1032322,0,1565808360,Flat Combining Fair,Spin Parker
3,3,8,32,1001095,1001095,0,1898316690,Flat Combining Fair,Spin Parker
4,4,8,32,1033854,1033854,0,1304183100,Flat Combining Fair,Spin Parker
5,5,8,32,1041455,1041455,0,1093699020,Flat Combining Fair,Spin Parker
6,6,8,32,1049947,1049947,0,1106584500,Flat Combining Fair,Spin Parker
7,7,8,32,1065571,1065571,0,674696640,Flat Combining Fair,Spin Parker
Id,CpuId,ThreadNum,CpuNum,LoopCount,NumAcquire,HoldTime,CombineTime,Locktype,WaiterType
0,0,8,32,370275,370275,0,575314680,Flat Combining Fair,BlockParker
1,1,8,32,362457,362457,0,4595997180,Flat Combining Fair,BlockParker
2,2,8,32,363903,363903,0,153330390,Flat Combining Fair,BlockParker
3,3,8,32,364400,364400,0,7120003410,Flat Combining Fair,BlockParker
4,4,8,32,364605,364605,0,276340050,Flat Combining Fair,BlockParker
5,5,8,32,365171,365171,0,29833980,Flat Combining Fair,BlockParker
6,6,8,32,364970,364970,0,26123310,Flat Combining Fair,BlockParker
