Id,CpuId,ThreadNum,CpuNum,LoopCount,NumAcquire,HoldTime,CombineTime,Locktype,WaiterType
1,1,4,32,705224270,285000,8562,,CCSynch,BlockParker
2,2,4,32,171962516,208998,2099,21461136360,CCSynch,BlockParker
3,3,4,32,516039418,208999,6279,16913821560,CCSynch,BlockParker
0,0,4,32,388330535,477612,4797,10575071280,CCSynch (Ban),Spin Parker
1,1,4,32,400913142,162280,4875,13244445120,CCSynch (Ban),Spin Parker
2,2,4,32,405310562,496494,4986,11945731500,CCSynch (Ban),Spin Parker
3,3,4,32,400911386,162268,4875,12366774390,CCSynch (Ban),Spin Parker
0,0,4,32,428886650,524889,5272,10415531370,CCSynch (Ban),BlockParker
1,1,4,32,384994351,156378,4698,13971489930,CCSynch (Ban),BlockParker
2,2,4,32,335597626,413916,4157,12313414290,CCSynch (Ban),BlockParker
3,3,4,32,385110304,156418,4699,12829300050,CCSynch (Ban),BlockParker
0,0,4,32,56506590,77956,783,,Mutex,
1,1,4,32,1158248612,484384,14551,,Mutex,
2,2,4,32,93563986,129297,1299,,Mutex,
3,3,4,32,215531999,90205,2710,,Mutex,
0,0,4,32,200917273,496681,5028,,SpinLock,
1,1,4,32,293238997,242239,7298,,SpinLock,
2,2,4,32,129554735,322882,3260,,SpinLock,
3,3,4,32,173647531,145710,4389,,SpinLock,
0,0,4,32,408924534,494308,4965,,U-SCL,
1,1,4,32,411970878,166125,4991,,U-SCL,
2,2,4,32,409746351,494393,4965,,U-SCL,
3,3,4,32,410946727,166133,4991,,U-SCL,
0,0,4,32,199839919,246327,2474,,RCL,Spin Parker
1,1,4,32,609802643,246329,7400,,RCL,Spin Parker
2,2,4,32,200056797,246328,2474,,RCL,Spin Parker
3,3,4,32,609766379,246329,7400,,RCL,Spin Parker
0,0,4,32,194121204,233749,2349,,RCL,BlockParker
1,1,4,32,582480188,233749,7022,,RCL,BlockParker
2,2,4,32,194103881,233752,2349,,RCL,BlockParker
3,3,4,32,582535743,233752,7022,,RCL,BlockParker
0,0,8,32,191062356,232843,2339,11864640030,Flat Combining (SkipList),Spin Parker
1,1,8,32,201408200,81021,2434,4601561400,Flat Combining (SkipList),Spin Parker
2,2,8,32,192969690,233293,2343,11382893130,Flat Combining (SkipList),Spin Parker
3,3,8,32,201319469,80991,2433,4118417070,Flat Combining (SkipList),Spin Parker
4,4,8,32,191168242,231831,2328,8546299710,Flat Combining (SkipList),Spin Parker
5,5,8,32,201269831,80958,2432,3149747130,Flat Combining (SkipList),Spin Parker
6,6,8,32,193193546,233301,2343,11864800140,Flat Combining (SkipList),Spin Parker
7,7,8,32,201358992,81001,2433,4359494550,Flat Combining (SkipList),Spin Parker
0,0,8,32,175825221,213346,2143,,Flat Combining (SkipList),BlockParker
1,1,8,32,195480414,78671,2363,3871755690,Flat Combining (SkipList),BlockParker
2,2,8,32,180846843,218792,2197,964813680,Flat Combining (SkipList),BlockParker
3,3,8,32,185523092,74698,2244,26636376660,Flat Combining (SkipList),BlockParker
4,4,8,32,178466924,215962,2169,7362123810,Flat Combining (SkipList),BlockParker
5,5,8,32,195486663,78668,2363,11861241240,Flat Combining (SkipList),BlockParker
6,6,8,32,176976337,214207,2151,4111635900,Flat Combining (SkipList),BlockParker
7,7,8,32,195280293,78623,2362,5079375450,Flat Combining (SkipList),BlockParker
0,0,8,32,67531673,81791,821,25553423910,Flat Combining,Spin Parker
1,1,8,32,216402525,87061,2615,20727937470,Flat Combining,Spin Parker
2,2,8,32,111919385,134896,1355,1142654250,Flat Combining,Spin Parker
3,3,8,32,326031034,131048,3937,4502363760,Flat Combining,Spin Parker
4,4,8,32,110210877,132855,1334,3085217520,Flat Combining,Spin Parker
5,5,8,32,332300943,133581,4013,2245138020,Flat Combining,Spin Parker
6,6,8,32,111845811,135049,1356,1003706250,Flat Combining,Spin Parker
7,7,8,32,334186447,134427,4038,1488164580,Flat Combining,Spin Parker
0,0,8,32,66479320,80480,808,19934121600,Flat Combining,BlockParker
1,1,8,32,303657611,122212,3671,146873310,Flat Combining,BlockParker
2,2,8,32,86246150,104310,1048,8615786100,Flat Combining,BlockParker
3,3,8,32,304344342,122346,3675,23107350,Flat Combining,BlockParker
4,4,8,32,101238223,122362,1229,9843090,Flat Combining,BlockParker
5,5,8,32,304360488,122325,3675,42484560,Flat Combining,BlockParker
6,6,8,32,75471989,91546,919,30276084000,Flat Combining,BlockParker
7,7,8,32,303957870,122234,3672,126629070,Flat Combining,BlockParker
0,0,8,32,191032724,232398,2334,14222818140,Flat Combining Fair,Spin Parker
